MatrixSize,NumProcesses,SequentialTime_gen,ParallelTime_gen,SequentialTime_pso,ParallelTime_pso
100,8,4.082894563674927,41.005419969558716,15.22309923171997,54.85710144042969
150,8,7.007119655609131,41.109973430633545,19.906239986419678,54.384838581085205
200,8,12.029174089431763,43.63534069061279,24.960811853408813,55.09829306602478
250,8,28.638132333755493,48.95778155326843,35.742379665374756,61.50259041786194
360,8,114.8637,63.3691,231.9453,73.4422
480,8,183.8182,80.5510,373.4458,89.1278
600,8,275.7816,101.5211,554.8547,110.3614
720,8,387.9285,124.1439,789.9013,135.1624
840,8,602.4391,160.0736,1194.8779,169.9084
1000,8,540.2026541233063,189.36195707321167,1106.648818731308,201.5587112903595
