MatrixSize,NumProcesses,SequentialTime_gen,ParallelTime_gen,SequentialTime_pso,ParallelTime_pso
100,4,4.082894563674927,37.62678098678589,15.22309923171997,50.885024070739746
150,4,7.007119655609131,37.89999198913574,19.906239986419678,51.652235984802246
200,4,12.029174089431763,39.47163462638855,24.960811853408813,52.02213931083679
250,4,28.638132333755493,50.59612321853638,35.742379665374756,63.60354733467102
360,4,114.8637,71.8516,231.9453,86.5523
480,4,183.8182,91.8388,373.4458,112.4498
600,4,275.7816,124.2159,554.8547,130.4708
720,4,387.9285,159.4746,789.9013,168.7484
840,4,602.4391,214.2276,1194.8779,224.3370
1000,4,540.2026541233063,242.04832077026367,1106.648818731308,254.90990686416626
