MatrixSize,NumProcesses,SequentialTime_gen,ParallelTime_gen,SequentialTime_pso,ParallelTime_pso
100,2,4.082894563674927,36.82377052307129,15.22309923171997,50.14220881462097
150,2,7.007119655609131,38.004939794540405,19.906239986419678,50.584869384765625
200,2,12.029174089431763,40.07192850112915,24.960811853408813,52.43521976470947
250,2,28.638132333755493,60.65733337402344,35.742379665374756,73.8149905204773
360,2,114.8637,95.0529,231.9453,104.4107
480,2,183.8182,135.0131,373.4458,143.3092
600,2,275.7816,184.0997,554.8547,194.3363
720,2,387.9285,250.4942,789.9013,258.8205
840,2,602.4391,347.6599,1194.8779,356.0165
1000,2,540.2026541233063,330.7642865180969,1106.648818731308,339.20260977745056
