MatrixSize,NumProcesses,SequentialTime_gen,ParallelTime_gen,SequentialTime_pso,ParallelTime_pso
100,25,4.082894563674927,80.93536376953125,15.22309923171997,89.5896635055542
150,25,7.007119655609131,85.15262126922607,19.906239986419678,95.42375159263611
200,25,12.029174089431763,88.23436331748962,24.960811853408813,96.33973455429077
250,25,28.638132333755493,93.94405460357666,35.742379665374756,104.17400336265564
360,25,114.8637,99.6992,231.9453,108.3729
480,25,183.8182,115.4085,373.4458,124.3585
600,25,275.7816,134.9761,554.8547,140.2825
720,25,387.9285,155.5092,789.9013,163.5454
840,25,602.4391,179.1087,1194.8779,189.7299
1000,25,540.2026541233063,222.796777009964,1106.648818731308,236.79355716705322
